CategoryLetter,FullTitle,PublicationYear,PageNumber
,I Will Rise,2008,237
,Jesus Messiah,2008,253
,Your Great Name,2008,497
,Your Love Never Fails,2008,501
,Break Every Chain,2009,65
,Glorious Day (Living He Loved Me),2009,129
,Just As I Am (I Come Broken),2009,307
,This Is My Father's World,2009,433
2010,All To Us,2010,9
,Faithful,2010,113
,I Lift My Hands,2010,221
,I Will Follow,2010,225
,One Thing Remains (Your Love Never Fails),2010,369
,Our God (Water You Turned Into Wine),2010,385
,Rooftops,2010,405
,"10,000 Reasons (Bless The Lord)",2011,1
,All The Poor And Powerless,2011,5
,Behold Our God,2011,55
,Build Your Kingdom Here,2011,69
,Cornerstone,2011,85
,Great I Am,2011,161
,Here For You,2011,185
,Holy (Wedding Day),2011,193
,Lord I Need You,2011,297
,All Glory Be To Christ,2012,13
,Christ Is Enough,2012,73
,Great Are You Lord,2012,210
,Hallelujah For The Cross (Up To The Hill),2012,169
,Jesus Son Of God,2012,261
,Lay Me Down,2012,289
,Man Of Sorrows,2012,309
,Mountain,2012,325
,Oceans (Where Feet May Fail),2012,361
,Scandal Of Grace,2012,426
,This Is Amazing Grace,2012,441
,Whom Shall I Fear (God Of Angel Armies),2012,477
,Your Presence Is Heaven,2012,513
,Crown Him (Majesty),2013,89
,Forever (We Sing Hallelujah),2013,141
,It Is Well (Grander Earth),2013,245
,"Lord Our God, The",2013,337
,Mercy,2013,313
,My Lighthouse,2013,333
,Victor's Crown,2013,453
,At The Cross (Love Ran Red),2014,37
,Broken Vessels (Amazing Grace),2014,61
,Christ The Lord Is Risen Today (He Is Not Dead),2014,81
,Ever Be,2014,117
,Good Good Father,2014,157
,No Longer Slaves,2014,345
,Be Enthroned,2015,45
,Death Was Arrested,2015,97
,Even So Come,2015,105
,King Of My Heart,2015,273
,"Lion And The Lamb, The",2015,281
,O Come To The Altar,2015,357
,O Praise The Name,2015,349
,Oh What Love,2015,365
,Resurrecting,2015,390
,We Believe,2015,465
,Build My Life,2016,59
,Do It Again,2016,101
,Forgiven,2016,121
,"Lord Is My Salvation, The",2016,301
,Mountain (You're Wonderful),2016,329
,Tremble,2016,485
,Way Maker,2016,461
,What A Beautiful Name,2016,458
,Death Where Is Your Sting,2017,109
,Glorious Day,2017,153
,Gracefully Broken,2017,145
,Living Hope,2017,293
,New Wine,2017,341
,Reckless Love,2017,397
,So Will I (100 Billion X),2017,421
,Who You Say I Am,2017,469
,Another In The Fire,2018,29
,Great Is Thy Faithfulness (Beginning To End),2018,165
,Hallelujah For The Cross,2018,205
,Here Again,2018,181
,Jesus Is Alive,2018,249
,Yet Not I But Through Christ In Me,2018,509
,King Of Kings,2019,265
