FileName,Artist,Album,Index,Title,AltTitle,Author,Key,OriginalKey,Tempo,TimeSignature,CcliSongNumber,PublicationYear,CopyrightHolder,Category,PagesLead,Status,PageNumber
14_KM_LET CHRIST BE FORMED IN ME_? ?? ???.pdf,Levites,???_29?,14,LET CHRIST BE FORMED IN ME,? ?? ???,Scott Brenner,C,,80,4/4,,2008,Scott Brenner Music,,,,
15_KM_I Stand Amazed_?? ???.pdf,Levites,???_29?,15,I Stand Amazed,?? ???,Scott Brenner,D,,68,4/4,,2007,Scott Brenner Music,,,,
16_EM_Hosanna.pdf,Levites,???_29?,16,Hosanna,,Scott Brenner,A,,78,4/4,,1984,Scott Brenner Music,,,,
17_KM_Because of Who You Are_? ?? ???.pdf,Levites,???_29?,17,Because of Who You Are,? ?? ???,Scott Brenner,A,,100,4/4,,2009,Scott Brenner Music,,,,
18_KM_Forever Im Resolved_??? ? ??.pdf,Levites,???_29?,18,Forever Im Resolved,??? ? ??,Scott Brenner,G,,130,4/4,,2009,Scott Brenner Music,,,,
19_KM_High And Lifted Up_? ?? ?????.pdf,Levites,???_29?,19,High And Lifted Up,? ?? ?????,Scott Brenner,G,,72,4/4,,2004,Scott Brenner Music,,,,
20_KM_My Heart Cries Holy.pdf,Levites,???_29?,20,My Heart Cries Holy,,Scott Brenner,E,,60,4/4,,2015,Scott Brenner Music,,,,
21_KM_Renovate_??? ???.pdf,Levites,???_29?,21,Renovate,??? ???,Scott Brenner,C,,80,4/4,,2009,Scott Brenner Music,,,,
22_KM_We Cry Glory_?? ??? ??.pdf,Levites,???_29?,22,We Cry Glory,?? ??? ??,Scott Brenner,G,,63,4/4,,1996,Scott Brenner Music,,,,
23_KM_GLORIFY_THE_LORD_? ??? ??.pdf,Levites,???_29?,23,GLORIFY THE LORD,? ??? ??,Scott Brenner,Bb,,73,4/4,,2007,Scott Brenner Music,,,,
24_KM_GLORY_??.pdf,Levites,???_29?,24,GLORY,??,Scott Brenner,C,,64,4/4,,2007,Scott Brenner Music,,,,
"25_KM_Come, Lord Jesus, Come_? ????.pdf",Levites,???_29?,25,"Come, Lord Jesus, Come",? ????,Scott Brenner,G,,48,3/4,,2004,Scott Brenner Music,,,,
26_KM_EVERYTHING I AM_? ?? ?? ?.pdf,Levites,???_29?,26,EVERYTHING I AM,? ?? ?? ?,Scott Brenner,F,,49,4/4,,2007,Scott Brenner Music,,,,
27_KM_The Glory of The Cross _ ???? ??.pdf,Levites,???_29?,27,The Glory of The Cross , ???? ??,Scott Brenner,G,,62,4/4,,2008,Scott Brenner Music,,,,
28_KM_You Must Increase_???? ????.pdf,Levites,???_29?,28,You Must Increase,???? ????,Scott Brenner,D,,80,4/4,,2007,Scott Brenner Music,,,,
29_KM_YOU_SHALL_REIGN_??? ? ????.pdf,Levites,???_29?,29,YOU SHALL REIGN,??? ? ????,Scott Brenner,E,,85,4/4,,2008,Scott Brenner Music,,,,
01_KM_World Wide Awakening_?????.pdf,Levites,1? ?????_11?+1?(KH),1,World Wide Awakening,?????,Scott Brenner,B,,100,4/4,,2007,Scott Brenner Music,,,,
02_KM_I'll Never Be Ashamed_?? ???? ?????.pdf,Levites,1? ?????_11?+1?(KH),2,I'll Never Be Ashamed,?? ???? ?????,Scott Brenner,G,,86,4/4,,2007,Scott Brenner Music,,,,
03-1_KH_God So Loved The World_????? ??? ????.pdf,Levites,1? ?????_11?+1?(KH),3,God So Loved The World,????? ??? ????,Scott Brenner,C,,72,4/4,,2007,Scott Brenner Music,,,,
03_KM_God So Loved The World_????? ??? ????.pdf,Levites,1? ?????_11?+1?(KH),4,God So Loved The World,????? ??? ????,Scott Brenner,Arrangement,,,4/4,,,Scott Brenner Music,,,,
04_KM_My Soul Will Follow_?? ?? ???.pdf,Levites,1? ?????_11?+1?(KH),5,My Soul Will Follow,?? ?? ???,Scott Brenner,A,,69,4/4,,2008,Scott Brenner Music,,,,
05_KM_Glory In The Highest_?? ?? ?? ??.pdf,Levites,1? ?????_11?+1?(KH),6,Glory In The Highest,?? ?? ?? ??,Scott Brenner,D,,77,4/4,,2007,Scott Brenner Music,,,,
06_KM_Crucified with Christ_?? ????? ??.pdf,Levites,1? ?????_11?+1?(KH),7,Crucified with Christ,?? ????? ??,Scott Brenner,G,,85,4/4,,2005,Scott Brenner Music,,,,
07_KM_Grace_??.pdf,Levites,1? ?????_11?+1?(KH),8,Grace,??,Scott Brenner,D,,53,4/4,,2007,Scott Brenner Music,,,,
08_KM_Lift Your Eyes_?? ??.pdf,Levites,1? ?????_11?+1?(KH),9,Lift Your Eyes,?? ??,Scott Brenner,E,,77,4/4,,2009,Scott Brenner Music,,,,
09_KM_You Are Here_??? ???.pdf,Levites,1? ?????_11?+1?(KH),10,You Are Here,??? ???,Scott Brenner,F,,45,4/4,,2008,Scott Brenner Music,,,,
10_KM_Sweet Refrains Arise_?? ?? ?? ??.pdf,Levites,1? ?????_11?+1?(KH),11,Sweet Refrains Arise,?? ?? ?? ??,Scott Brenner,C,,66,4/4,,2006,Scott Brenner Music,,,,
11_KM_Kairos_????.pdf,Levites,1? ?????_11?+1?(KH),12,Kairos,????,Scott Brenner,G,,128,4/4,,2007,Scott Brenner Music,,,,
01_KM_Awake!_????!.pdf,Levites,2? ????_11?,1,Awake!,????!,Scott Brenner,D,,56,4/4,,2006,Scott Brenner Music,,,,
02_KM_Taking My Stand_? ?? ??.pdf,Levites,2? ????_11?,2,Taking My Stand,? ?? ??,Scott Brenner,G,,135,4/4,,2006,Scott Brenner Music,,,,
03_KM_Revolution_????.pdf,Levites,2? ????_11?,3,Revolution,????,Scott Brenner,G,,136,4/4,,2006,Scott Brenner Music,,,,
04_KM_We're Rising Up_???? ????.pdf,Levites,2? ????_11?,4,We're Rising Up,???? ????,Scott Brenner,G,,128,4/4,,2006,Scott Brenner Music,,,,
05_EM_Come On Everybody.pdf,Levites,2? ????_11?,5,Come On Everybody,,Scott Brenner,A,,130-137,4/4,,2005,Scott Brenner Music,,,,
06_KM_Every Nation_?? ??.pdf,Levites,2? ????_11?,6,Every Nation,?? ??,Scott Brenner,A,,72-79,4/4,,2005,Scott Brenner Music,,,,
07_KM_My One Reward_??? ? ??.pdf,Levites,2? ????_11?,7,My One Reward,??? ? ??,Scott Brenner,D,,88,4/4,,2004,Scott Brenner Music,,,,
08_KM_Hearts On Fire_??? ?? ??.pdf,Levites,2? ????_11?,8,Hearts On Fire,??? ?? ??,Scott Brenner,G,,122,4/4,,1997,Scott Brenner Music,,,,
09_KM_Behold The Lamb_???? ?? ?? ? ???.pdf,Levites,2? ????_11?,9,Behold The Lamb,???? ?? ?? ? ???,Scott Brenner,C,,85-88,4/4,,2007,Scott Brenner Music,,,,
10_KM_Holy Is Our God_???? ?.pdf,Levites,2? ????_11?,10,Holy Is Our God,???? ?,Scott Brenner,C,,68-74,4/4,,2006,Scott Brenner Music,,,,
12_KM_Our King Forever_?? ???.pdf,Levites,2? ????_11?,11,Our King Forever,?? ???,Scott Brenner,C,,62-67,4/4,,2007,Scott Brenner Music,,,,
01_KM_I Am Yours_? ?? ?.pdf,Levites,3? ? ?? ?_11?,1,I Am Yours,? ?? ?,Scott Brenner,E,,75,4/4,,2006,Scott Brenner Music,,,,
02_KM_I Worship You_?????.pdf,Levites,3? ? ?? ?_11?,2,I Worship You,?????,Scott Brenner,G,,68,4/4,,2008,Scott Brenner Music,,,,
03_KM_Decided_?? ?? ????.pdf,Levites,3? ? ?? ?_11?,3,Decided,?? ?? ????,Scott Brenner,D,,80,4/4,,2009,Scott Brenner Music,,,,
04_KM_Jesus(YourName)_?? ? ??.pdf,Levites,3? ? ?? ?_11?,4,Jesus (Your Name),?? ? ??,Scott Brenner,Bb,,72,4/4,,2009,Scott Brenner Music,,,,
05_KM_Lord of My Heart_?? ??.pdf,Levites,3? ? ?? ?_11?,5,Lord of My Heart,?? ??,Scott Brenner,D,,77,4/4,,1998,Scott Brenner Music,,,,
06_EM_All That I Can Say.pdf,Levites,3? ? ?? ?_11?,6,All That I Can Say,,Scott Brenner,Ab,,78,4/4,,2012,Scott Brenner Music,,,,
07_EM_That Is Why.pdf,Levites,3? ? ?? ?_11?,7,That Is Why,,Scott Brenner,Gb,,74,4/4,,2010,Scott Brenner Music,,,,
08_EM_Scars of Love.pdf,Levites,3? ? ?? ?_11?,8,Scars of Love,,Scott Brenner,D,,67,4/4,,2009,Scott Brenner Music,,,,
09_EM_Let Your Love Wash Over Me.pdf,Levites,3? ? ?? ?_11?,9,Let Your Love Wash Over Me,,Scott Brenner,E,,108,4/4,,2012,Scott Brenner Music,,,,
10_EM_Be Still My Soul.pdf,Levites,3? ? ?? ?_11?,10,Be Still My Soul,,Katharina A. von Schlegel,F,,60,4/4,,2016,Scott Brenner Music,,,,
11_EM_Now Im Coming Home.pdf,Levites,3? ? ?? ?_11?,11,Now Im Coming Home,,Scott Brenner,Bb,,77-82,4/4,,2013,Scott Brenner Music,,,,
